created_in,entry_id,PM1.0_CF_ATM_ug/m3,PM2.5_CF_ATM_ug/m3,PM10.0_CF_ATM_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_CF_1_ug/m3
2017-12-25 14:10-14:20,132910.0,13.944285714285714,18.234285714285715,19.962857142857143,1009.2857142857143,-59.42857142857143,53.285714285714285,41.714285714285715,18.234285714285715
2017-12-25 14:20-14:30,132917.5,16.72375,21.89875,23.77875,1019.375,-58.25,52.625,44.375,21.89875
2017-12-25 14:30-14:40,132925.0,16.434285714285714,21.48857142857143,23.185714285714287,1029.2857142857142,-58.285714285714285,52.0,46.57142857142857,21.48857142857143
2017-12-25 14:40-14:50,132932.5,15.67375,21.28,23.355,1039.375,-58.5,51.875,46.5,21.28
2017-12-25 14:50-15:00,132940.0,14.925714285714285,20.11285714285714,21.714285714285715,1049.2857142857142,-58.285714285714285,52.0,45.142857142857146,20.11285714285714
2017-12-25 15:00-15:10,132947.5,15.2775,20.25375,22.085,1059.375,-57.625,52.0,45.375,20.25375
2017-12-25 15:10-15:20,132955.0,15.385714285714286,20.681428571428572,22.024285714285714,1069.2857142857142,-57.285714285714285,52.0,45.57142857142857,20.681428571428572
2017-12-25 15:20-15:30,132962.5,15.99625,22.00125,23.8525,1079.375,-59.375,52.0,45.0,22.00125
2017-12-25 15:30-15:40,132970.0,19.45,26.73857142857143,29.42,1089.2857142857142,-58.142857142857146,52.0,45.857142857142854,26.73857142857143
2017-12-25 15:40-15:50,132977.5,20.76,27.603749999999998,29.66375,1099.375,-58.625,52.0,47.125,27.603749999999998
2017-12-25 15:50-16:00,132985.0,19.1,26.215714285714284,27.655714285714286,317.85714285714283,-58.142857142857146,52.857142857142854,47.0,26.215714285714284
2017-12-25 16:00-16:10,132992.0,20.251428571428573,27.294285714285714,28.945714285714285,10.714285714285714,-59.285714285714285,53.57142857142857,47.0,27.294285714285714
2017-12-25 16:10-16:20,132999.5,18.48375,25.015,26.95125,20.625,-58.25,54.5,47.75,25.015
2017-12-25 16:20-16:30,133007.0,19.75,28.935714285714283,31.791428571428572,30.714285714285715,-58.285714285714285,55.42857142857143,49.0,28.708571428571428
2017-12-25 16:30-16:40,133014.5,19.7175,26.90375,29.3875,40.625,-58.25,56.75,50.25,26.90375
2017-12-25 16:40-16:50,133022.0,19.152857142857144,25.904285714285713,27.755714285714287,50.714285714285715,-58.142857142857146,57.714285714285715,50.857142857142854,25.904285714285713
2017-12-25 16:50-17:00,133029.5,19.1975,25.708750000000002,27.78375,60.625,-58.875,58.375,51.25,25.708750000000002
2017-12-25 17:00-17:10,133037.0,20.524285714285714,27.521428571428572,28.93857142857143,70.71428571428571,-59.0,59.57142857142857,52.42857142857143,27.505714285714287
2017-12-25 17:10-17:20,133044.5,18.71375,25.68125,27.33125,80.625,-59.125,60.75,53.5,25.68125
2017-12-25 17:20-17:30,133052.0,20.76142857142857,28.814285714285713,31.001428571428573,90.71428571428571,-58.42857142857143,61.0,51.42857142857143,28.66
2017-12-25 17:30-17:40,133059.5,27.51375,38.5625,41.84625,100.625,-58.25,62.0,48.0,35.5125
2017-12-25 17:40-17:50,133067.0,31.84857142857143,45.86,49.33428571428571,110.71428571428571,-59.142857142857146,63.0,44.285714285714285,39.70285714285714
2017-12-25 17:50-18:00,133074.5,39.1325,56.9325,62.545,120.625,-59.375,64.125,39.375,45.254999999999995
2017-12-25 18:00-18:10,133082.0,37.21714285714285,52.72571428571429,56.58428571428571,130.71428571428572,-60.142857142857146,65.57142857142857,37.57142857142857,42.871428571428574
2017-12-25 18:10-18:20,133089.5,36.59625,52.26625,55.9125,140.625,-60.0,67.25,36.25,42.43375
2017-12-25 18:20-18:30,133097.0,37.082857142857144,53.97714285714286,58.01714285714286,150.71428571428572,-58.714285714285715,68.57142857142857,35.285714285714285,43.09428571428572
2017-12-25 18:30-18:40,133104.5,42.345,60.335,64.89125,160.625,-58.75,69.625,33.5,45.495
2017-12-25 18:40-18:50,133112.0,42.44,59.41285714285714,63.59428571428572,170.71428571428572,-58.285714285714285,69.14285714285714,32.57142857142857,45.24857142857143
2017-12-25 18:50-19:00,133119.5,42.54375,61.29375,66.52125,180.625,-58.875,69.375,31.875,45.935
2017-12-25 19:00-19:10,133127.0,44.53285714285714,63.505714285714284,69.04,190.71428571428572,-58.57142857142857,69.42857142857143,30.571428571428573,46.92
2017-12-25 19:10-19:20,133134.5,46.886250000000004,66.77375,72.06375,200.625,-58.125,68.75,29.75,48.13125
2017-12-25 19:20-19:30,133142.0,48.05,69.38857142857142,75.26285714285714,210.71428571428572,-58.0,69.71428571428571,29.142857142857142,49.16142857142857
2017-12-25 19:30-19:40,133149.5,49.18875,71.0425,76.70625,220.625,-58.875,70.75,28.75,49.735
2017-12-25 19:40-19:50,133157.0,46.73428571428572,66.49,71.28857142857143,230.71428571428572,-59.42857142857143,71.85714285714286,29.428571428571427,48.00714285714286
2017-12-25 19:50-20:00,133164.5,42.725,60.72625,65.12875,240.625,-58.875,71.75,31.5,45.735
2017-12-25 20:00-20:10,133172.0,38.44428571428571,54.37714285714286,57.691428571428574,250.71428571428572,-59.57142857142857,71.85714285714286,33.42857142857143,43.04142857142857
2017-12-25 20:10-20:20,133179.5,35.52375,49.63125,52.448750000000004,260.625,-59.125,72.125,35.75,40.87375
2017-12-25 20:20-20:30,133187.0,35.26285714285714,49.75142857142857,53.36142857142857,270.7142857142857,-58.857142857142854,72.57142857142857,34.285714285714285,40.91428571428571
2017-12-25 20:30-20:40,133194.5,33.77875,48.7425,51.901250000000005,280.625,-58.875,72.875,35.0,40.3625
2017-12-25 20:40-20:50,133202.0,32.19285714285714,45.394285714285715,48.278571428571425,290.7142857142857,-59.57142857142857,73.14285714285714,34.142857142857146,38.78857142857143
